DateTime,active,reactive,intensity,Sub1,Sub2,Sub3
16/12/2006 17:00,152.024,8.244,651.6,0,19,607
16/12/2006 18:00,217.932,4.802,936,0,403,1012
16/12/2006 19:00,204.014,5.114,870.2,0,86,1001
16/12/2006 20:00,196.114,4.506,835,0,0,1007
16/12/2006 21:00,183.388,4.6,782.8,0,25,1033
16/12/2006 22:00,132.008,3.37,571.4,0,8,266
16/12/2006 23:00,123.696,4.286,533.8,0,5,0
17/12/2006 00:00,112.948,6.146,487.6,0,28,0
17/12/2006 01:00,200.964,8.216,854.8,0,1514,0
17/12/2006 02:00,95.236,4.694,412.2,0,34,0
17/12/2006 03:00,99.732,4.772,432.4,0,46,0
17/12/2006 04:00,132.946,5.608,560,0,34,533
17/12/2006 05:00,119.804,3.614,514,0,10,279
17/12/2006 06:00,78.198,5.69,331.8,0,43,0
17/12/2006 07:00,97.202,3.588,408.2,0,10,0
17/12/2006 08:00,113.434,7.114,483,0,45,0
17/12/2006 09:00,152.944,4.754,658.4,0,439,0
17/12/2006 10:00,217.734,11.676,932,533,1341,969
17/12/2006 11:00,148.26,12.042,629.6,567,301,1031
17/12/2006 12:00,114.952,17.642,488.2,0,32,1039
17/12/2006 13:00,99.646,10.292,415.4,0,3,1057
17/12/2006 14:00,125.558,15.444,516,0,20,1094
17/12/2006 15:00,179.124,5.316,745.6,418,12,1062
17/12/2006 16:00,199.562,5.588,840.4,515,4,1030
17/12/2006 17:00,204.406,9.998,870.6,0,28,1009
17/12/2006 18:00,221.826,8.104,945,0,0,1010
17/12/2006 19:00,174.504,15.91,751,0,31,1001
17/12/2006 20:00,201.69,16.29,856.6,0,67,1027
17/12/2006 21:00,182.446,16.078,763,0,72,1050
17/12/2006 22:00,91.08,14.122,383,0,25,150
17/12/2006 23:00,26.264,13.308,119.8,0,48,0
18/12/2006 00:00,16.582,5.944,73.4,0,2,0
18/12/2006 01:00,18.798,9.114,85,0,35,0
18/12/2006 02:00,17.068,6.544,75.4,0,0,0
18/12/2006 03:00,18.596,8.866,84,0,34,0
18/12/2006 04:00,61.58,4.8,250.6,0,4,753
18/12/2006 05:00,17.61,7.316,77.6,0,28,0
18/12/2006 06:00,36.6,6.774,156,0,5,0
18/12/2006 07:00,147.026,9.18,613.2,5,27,678
18/12/2006 08:00,124.928,4.424,523.6,748,2,1041
18/12/2006 09:00,97.76,5.11,409,310,29,1036
18/12/2006 10:00,78.578,3.17,325.6,0,0,1050
18/12/2006 11:00,93.716,7.64,388.2,0,31,1056
18/12/2006 12:00,105.364,5.238,434.8,0,0,1081
18/12/2006 13:00,100.924,7.59,416.4,0,32,1042
18/12/2006 14:00,103.982,2.958,425.8,0,0,1043
18/12/2006 15:00,107.058,6.244,438.6,0,31,1079
18/12/2006 16:00,116.958,12.266,485.8,0,0,1079
18/12/2006 17:00,129.294,5.868,539.6,0,20,1047
18/12/2006 18:00,144.152,4.746,605,0,15,1015
18/12/2006 19:00,156.87,12.046,671.4,0,546,0
18/12/2006 20:00,183.034,7.222,782.8,0,30,795
18/12/2006 21:00,130.184,4.304,554.4,0,0,223
18/12/2006 22:00,104.328,6.478,435,0,531,0
18/12/2006 23:00,92.836,7.95,396,0,1219,0
19/12/2006 00:00,50.228,5.57,212.6,0,58,489
19/12/2006 01:00,21.182,4.552,94.2,0,15,44
19/12/2006 02:00,19.634,6.344,87.8,0,38,0
19/12/2006 03:00,18.498,4.38,81.8,0,10,0
19/12/2006 04:00,19.67,6.148,90,0,43,0
19/12/2006 05:00,18.4,4.252,82.8,0,10,0
19/12/2006 06:00,47.78,6.408,208,0,41,0
19/12/2006 07:00,107.138,5.066,452.6,0,0,444
19/12/2006 08:00,232.742,7.346,992.4,561,1571,1026
19/12/2006 09:00,97.066,5.248,417.8,278,862,196
19/12/2006 10:00,26.228,7.546,116.6,0,85,0
19/12/2006 11:00,139.298,5.072,591.8,0,2061,0
19/12/2006 12:00,25.84,7.962,115.4,0,175,0
19/12/2006 13:00,18.028,4.906,77.6,0,37,0
19/12/2006 14:00,18.128,7.132,80,0,45,0
19/12/2006 15:00,25.282,4.852,108.4,0,10,133
19/12/2006 16:00,82.328,5.5,336.8,0,43,1082
19/12/2006 17:00,126.69,8.666,530.6,0,10,1046
19/12/2006 18:00,132.282,6.198,555.4,0,44,1038
19/12/2006 19:00,110.526,4.376,456.2,0,3,699
19/12/2006 20:00,176.432,14.242,748.8,0,1614,0
19/12/2006 21:00,86.572,6.39,380.6,0,747,0
19/12/2006 22:00,43.2,8.76,180.8,0,70,0
19/12/2006 23:00,23.022,4.026,95,0,10,0
20/12/2006 00:00,27.59,8.76,119.2,0,43,0
20/12/2006 01:00,15.52,3.4,66.8,0,10,0
20/12/2006 02:00,47.062,7.416,194.6,0,42,476
20/12/2006 03:00,18.602,4.108,80.6,0,10,42
20/12/2006 04:00,17.34,5.846,74.8,0,28,0
20/12/2006 05:00,15.762,4.632,67.2,0,12,0
20/12/2006 06:00,17.016,3.994,70.8,0,0,0
20/12/2006 07:00,91.598,11.538,386.2,0,31,280
20/12/2006 08:00,175.056,5.292,732.2,0,577,1057
20/12/2006 09:00,83.132,6.502,337.6,0,32,1086
20/12/2006 10:00,90.618,2.83,375,0,194,1063
20/12/2006 11:00,173.544,9.912,724.4,0,1510,1062
20/12/2006 12:00,85.262,4.328,349.6,0,5,1081
20/12/2006 13:00,85.704,6.61,352.8,0,28,1080
20/12/2006 14:00,77.694,5.56,319.2,0,3,995
20/12/2006 15:00,16.868,4.286,74.2,0,12,0
20/12/2006 16:00,28.106,6.55,124.2,0,19,0
20/12/2006 17:00,34.41,4.642,142.6,0,0,0
20/12/2006 18:00,170.21,9.478,713.6,0,31,631
20/12/2006 19:00,194.918,5.262,822.6,0,0,1031
20/12/2006 20:00,214.528,15.932,908.2,0,31,1027
20/12/2006 21:00,218.764,9.63,924.2,0,0,1024
20/12/2006 22:00,183.538,5.286,765.2,0,22,1049
20/12/2006 23:00,142.906,9.204,587.2,0,8,1079
21/12/2006 00:00,92.152,9.332,379.4,0,0,1088
21/12/2006 01:00,83.878,7.31,341.2,0,31,1091
21/12/2006 02:00,76.494,2.358,309,0,0,1032
21/12/2006 03:00,18.156,7.192,80,0,30,0
21/12/2006 04:00,14.804,2.55,61.2,0,0,0
21/12/2006 05:00,17.442,6.35,75.8,0,23,0
21/12/2006 06:00,17.74,3.19,73.2,0,8,0
21/12/2006 07:00,76.828,5.03,322.2,0,0,0
21/12/2006 08:00,93.782,9.18,395.6,0,30,305
21/12/2006 09:00,154.548,3.102,646.8,666,562,1046
21/12/2006 10:00,106.062,4.248,444.2,569,31,890
21/12/2006 11:00,31.01,6.47,138.2,0,0,0
21/12/2006 12:00,49.148,7.87,215,0,460,0
21/12/2006 13:00,101.294,3.87,423.6,0,1192,233
21/12/2006 14:00,61.434,7.11,260.2,0,72,500
21/12/2006 15:00,18.444,2.742,81.8,0,10,0
21/12/2006 16:00,81.604,5.814,337.4,0,43,1037
21/12/2006 17:00,105.158,8.882,452,0,10,719
21/12/2006 18:00,146.598,7.19,625,0,42,1006
21/12/2006 19:00,131.828,5.666,561.4,281,10,702
21/12/2006 20:00,146.242,15.076,626.4,249,36,257
21/12/2006 21:00,58.936,2.658,246.2,0,2,515
21/12/2006 22:00,16.816,5.608,72.4,0,12,0
21/12/2006 23:00,16.226,5.368,70.4,0,19,0
22/12/2006 00:00,16.016,4.748,68.6,0,0,0
