DateTime,active,reactive,intensity,Sub1,Sub2,Sub3
01/01/2008 00:00,95.816,2.786,394.6,0,0,1074
01/01/2008 01:00,97.174,5.242,402.2,0,27,1068
01/01/2008 02:00,148.424,4.402,611.2,0,0,1084
01/01/2008 03:00,163.868,4.58,673.4,0,28,1077
01/01/2008 04:00,145.868,3.668,599.4,0,0,1069
01/01/2008 05:00,148.78,3.608,612,0,2,1065
01/01/2008 06:00,101.412,3.98,414,0,26,341
01/01/2008 07:00,79.928,3.546,326.6,0,0,0
01/01/2008 08:00,82.51,6.424,337.4,0,28,0
01/01/2008 09:00,63.054,2.818,260.6,0,0,0
01/01/2008 10:00,35.154,5.444,155.6,0,7,0
01/01/2008 11:00,159.114,5.93,663.4,542,418,815
01/01/2008 12:00,123.61,5.416,517.8,582,31,565
01/01/2008 13:00,176.868,20.978,755.6,0,1759,116
01/01/2008 14:00,109.16,3.374,449.6,0,266,1088
01/01/2008 15:00,62.95,7.842,260.2,0,63,607
01/01/2008 16:00,50.748,3.884,208.6,0,0,0
01/01/2008 17:00,124.03,5.244,516.4,0,28,0
01/01/2008 18:00,172.816,2.478,726.2,0,0,0
01/01/2008 19:00,180.434,13.568,766.2,0,17,460
01/01/2008 20:00,172.386,11.188,724,0,11,1039
01/01/2008 21:00,162.29,3.504,681,689,0,887
01/01/2008 22:00,79.592,8.654,333.4,648,28,0
01/01/2008 23:00,23.752,3.95,99.8,0,0,0
02/01/2008 00:00,22.702,5.264,97.8,0,28,0
02/01/2008 01:00,21.308,5.25,93.6,0,0,0
02/01/2008 02:00,19.534,2.712,82.8,0,0,0
02/01/2008 03:00,22.026,6.266,96.6,0,28,0
02/01/2008 04:00,52.156,3.728,215.2,0,0,521
02/01/2008 05:00,21.796,5.804,95.2,0,27,0
02/01/2008 06:00,67.902,3.536,285.4,0,0,0
02/01/2008 07:00,128.446,3.992,533,0,0,632
02/01/2008 08:00,97.59,6.19,408,0,28,1047
02/01/2008 09:00,91.812,2.964,379,0,0,1068
02/01/2008 10:00,97.242,4.73,403.6,0,21,1060
02/01/2008 11:00,90.474,5.398,373.4,0,7,1075
02/01/2008 12:00,82.974,2.478,344.8,0,0,1065
02/01/2008 13:00,86.458,5.688,357.4,0,27,1070
02/01/2008 14:00,57.864,4.13,238.4,0,0,620
02/01/2008 15:00,24.496,3.086,107.2,0,0,0
02/01/2008 16:00,23.11,6.59,101.8,0,28,0
02/01/2008 17:00,32.604,3.338,137.4,0,0,0
02/01/2008 18:00,68.246,3.478,286.6,0,8,0
02/01/2008 19:00,101.236,3.526,426.8,0,361,0
02/01/2008 20:00,77.788,3.332,323,0,46,829
02/01/2008 21:00,91.55,5.258,382.2,0,30,0
02/01/2008 22:00,135.794,3.416,560.4,0,850,0
02/01/2008 23:00,128.998,11.512,539.8,0,1605,0
03/01/2008 00:00,26.56,4.014,113.4,0,31,0
03/01/2008 01:00,22.516,4.702,97.4,0,55,0
03/01/2008 02:00,67.502,5.22,275.4,0,22,760
03/01/2008 03:00,21.088,4.292,92,0,10,0
03/01/2008 04:00,22.364,6.364,99.4,0,40,0
03/01/2008 05:00,20.176,3.31,88.8,0,9,0
03/01/2008 06:00,48.786,5.308,210.4,0,14,0
03/01/2008 07:00,52.854,6.122,225,0,28,138
03/01/2008 08:00,118.56,3.082,492.6,0,0,1057
03/01/2008 09:00,47.87,5.388,200.2,0,28,187
03/01/2008 10:00,34.66,2.63,142.6,0,0,0
03/01/2008 11:00,105.928,2.822,436,0,0,937
03/01/2008 12:00,81.938,11.948,347.8,0,30,368
03/01/2008 13:00,27.692,7.514,122.8,0,0,0
03/01/2008 14:00,21.4,4.748,88.6,0,0,0
03/01/2008 15:00,39.466,5.782,161,0,29,0
03/01/2008 16:00,56.776,3.35,233.4,0,0,0
03/01/2008 17:00,131.756,3.028,545.2,0,1,807
03/01/2008 18:00,143.096,5.17,600.2,0,28,1033
03/01/2008 19:00,135.318,4.626,571.2,0,0,1033
03/01/2008 20:00,154.046,5.966,652.6,377,454,351
03/01/2008 21:00,73.244,4.912,307.6,753,38,0
03/01/2008 22:00,31.98,3.716,131.2,0,0,0
03/01/2008 23:00,24.532,7.168,103.6,0,29,0
04/01/2008 00:00,50.246,3.466,206.6,0,0,550
04/01/2008 01:00,16.046,2.434,68,0,0,0
04/01/2008 02:00,19.35,6.912,84,0,30,0
04/01/2008 03:00,17.132,3.564,71.6,0,0,0
04/01/2008 04:00,16.602,2.776,70,0,0,0
04/01/2008 05:00,19.79,6.328,86.4,0,30,0
04/01/2008 06:00,74.718,3.3,314.8,0,0,263
04/01/2008 07:00,174.526,4.82,730.8,0,16,1041
04/01/2008 08:00,177.818,5.428,757.8,0,1491,1030
04/01/2008 09:00,102.83,5.148,428,0,84,1054
04/01/2008 10:00,108.756,3.916,457.4,0,40,1043
04/01/2008 11:00,89.318,3,378.2,0,9,695
04/01/2008 12:00,48.748,5.588,211,0,41,0
04/01/2008 13:00,100.024,3.572,417.8,0,9,1048
04/01/2008 14:00,47.238,6.312,207.4,0,40,250
04/01/2008 15:00,195.208,8.996,814.6,0,1770,540
04/01/2008 16:00,149.622,13.062,623.2,0,91,1086
04/01/2008 17:00,228.838,11.182,979.4,0,1519,1028
04/01/2008 18:00,112.23,5.256,475.6,0,57,1031
04/01/2008 19:00,106.252,8.536,455.6,0,34,25
04/01/2008 20:00,167.56,8.99,715.8,571,36,668
04/01/2008 21:00,125.674,3.112,526.6,312,0,400
04/01/2008 22:00,94.638,7.378,390.8,358,29,0
04/01/2008 23:00,48.688,3.63,198.4,0,0,0
05/01/2008 00:00,21.76,5.494,92.2,0,27,0
05/01/2008 01:00,18.28,3.766,76.4,0,1,0
05/01/2008 02:00,16.812,3.204,70.8,0,0,0
05/01/2008 03:00,35.564,5.608,150.6,0,29,281
05/01/2008 04:00,29.794,3.266,123.8,0,0,213
05/01/2008 05:00,18.486,5.63,81,0,29,0
05/01/2008 06:00,17.118,3.2,71.4,0,0,0
05/01/2008 07:00,17.888,3.316,76.4,0,0,0
05/01/2008 08:00,116.458,7.122,492.8,0,28,560
05/01/2008 09:00,89.576,2.868,375.6,0,0,620
05/01/2008 10:00,95.992,6.982,410.4,0,28,1012
05/01/2008 11:00,85.126,6.142,363.4,0,0,1010
05/01/2008 12:00,146.93,8.636,638.4,0,13,1017
05/01/2008 13:00,126.426,9.994,537.6,9,16,1029
05/01/2008 14:00,140.162,5.31,590.6,785,0,1049
05/01/2008 15:00,115.258,6.926,485.6,311,29,1049
05/01/2008 16:00,85.946,5.47,361.6,0,0,731
05/01/2008 17:00,115.588,6.466,495.4,0,21,0
05/01/2008 18:00,217.098,3.714,939.6,0,8,822
05/01/2008 19:00,188.012,8.372,806.6,140,0,1008
05/01/2008 20:00,179.228,4.834,761.4,868,28,1028
05/01/2008 21:00,96.82,3.642,408.6,0,0,1042
05/01/2008 22:00,100.706,5.89,421.2,0,29,1058
05/01/2008 23:00,108.22,3.612,452,0,0,1062
06/01/2008 00:00,87.388,3.432,356.6,0,0,1073
06/01/2008 01:00,48.954,5.73,206.4,0,29,481
06/01/2008 02:00,17.32,4.036,74.6,0,0,0
06/01/2008 03:00,17.884,4.716,77.4,0,28,0
06/01/2008 04:00,17.858,4.474,77,0,0,0
06/01/2008 05:00,16.406,2.744,70,0,0,0
06/01/2008 06:00,18.36,4.882,80.2,0,28,0
06/01/2008 07:00,16.982,2.982,72.4,0,0,0
06/01/2008 08:00,84.858,6.228,356.8,0,29,660
06/01/2008 09:00,38.592,2.908,166,0,0,222
06/01/2008 10:00,66.934,3.3,283.2,0,2,489
06/01/2008 11:00,48.678,5.238,206.6,0,26,297
06/01/2008 12:00,78.506,10.562,335.8,0,552,0
06/01/2008 13:00,102.802,6.376,434.6,409,103,758
06/01/2008 14:00,99.234,3.57,413.6,237,0,1062
06/01/2008 15:00,105.654,4.752,439.8,536,24,914
06/01/2008 16:00,51.734,7.038,217.4,0,6,0
06/01/2008 17:00,138.288,4.74,589,0,1288,0
06/01/2008 18:00,142.318,5.382,614,0,231,0
06/01/2008 19:00,217.74,8.77,947.4,678,41,306
06/01/2008 20:00,191.914,5.012,825,106,29,776
06/01/2008 21:00,142.784,2.476,606.2,0,0,786
06/01/2008 22:00,55.78,4.4,237.8,0,29,0
06/01/2008 23:00,18.216,3.21,74,0,0,0
07/01/2008 00:00,19.366,5.66,82,0,28,0
07/01/2008 01:00,18.958,4.988,78.4,0,0,0
07/01/2008 02:00,19.004,5.318,79.8,0,26,0
07/01/2008 03:00,17.512,4.508,72.6,0,3,0
07/01/2008 04:00,27.906,5.048,116,0,0,144
07/01/2008 05:00,42.404,3.68,175.4,0,28,397
07/01/2008 06:00,44.56,3.288,187.8,0,0,31
07/01/2008 07:00,156.19,6.136,657,0,29,1042
07/01/2008 08:00,169.922,4.196,713.4,677,0,1046
07/01/2008 09:00,118.088,4.04,486,611,19,1067
07/01/2008 10:00,83,5.05,340,0,9,1079
07/01/2008 11:00,81.576,3.744,333.8,0,0,1080
07/01/2008 12:00,81.922,4.88,333.2,0,28,1072
07/01/2008 13:00,30.318,4.502,124.4,0,0,213
07/01/2008 14:00,18.232,5.834,80.2,0,28,0
07/01/2008 15:00,16.446,3.128,67.6,0,0,0
07/01/2008 16:00,17.206,3.976,73.2,0,5,0
07/01/2008 17:00,29.206,4.94,125.8,0,23,0
07/01/2008 18:00,55.778,2.612,233.4,0,0,0
07/01/2008 19:00,117.302,9.038,498,0,28,155
07/01/2008 20:00,203.956,6.012,863.8,0,0,1022
07/01/2008 21:00,140.356,5.08,590.2,0,23,161
07/01/2008 22:00,103.29,5.936,427,0,5,701
07/01/2008 23:00,83.316,4.578,339,0,0,1084
08/01/2008 00:00,78.654,7.452,324,0,28,995
08/01/2008 01:00,16.222,3.154,71.4,0,0,0
08/01/2008 02:00,17.388,4.484,75.6,0,29,0
08/01/2008 03:00,17.33,4.28,77.2,0,0,0
08/01/2008 04:00,16.582,3.278,72.6,0,6,0
08/01/2008 05:00,16.774,3.634,72.2,0,22,0
08/01/2008 06:00,127.456,4.892,534.4,0,0,646
08/01/2008 07:00,159.39,5.15,674.4,0,27,956
08/01/2008 08:00,21.134,2.602,90.6,0,0,36
08/01/2008 09:00,18.886,6.514,83.8,0,20,0
08/01/2008 10:00,16.466,3.508,71.6,0,8,0
08/01/2008 11:00,66.066,4.146,283.6,61,427,0
08/01/2008 12:00,195.836,7.914,826.4,501,754,886
08/01/2008 13:00,261.902,9.238,1121.2,463,2020,1026
08/01/2008 14:00,91.25,5.244,372.4,0,56,1091
08/01/2008 15:00,88.592,5.818,361.6,0,9,1094
08/01/2008 16:00,86.738,3.676,352.4,0,19,1090
08/01/2008 17:00,63.584,3.156,264.6,0,0,528
08/01/2008 18:00,78.042,4.944,329.2,0,29,0
08/01/2008 19:00,111.726,3.654,474.4,0,0,0
08/01/2008 20:00,127.054,6.696,536.4,222,28,0
08/01/2008 21:00,251.966,13.856,1073.2,950,0,881
08/01/2008 22:00,90.298,6.666,380.8,0,29,564
08/01/2008 23:00,24.214,3.496,101.6,0,0,0
09/01/2008 00:00,30.988,2.8,132.2,0,0,0
09/01/2008 01:00,23.332,4.144,105.8,0,28,0
09/01/2008 02:00,17.444,4.042,75.6,0,0,0
09/01/2008 03:00,17.608,5.002,78.4,0,29,0
09/01/2008 04:00,15.662,2.2,69.2,0,0,0
09/01/2008 05:00,48.96,5.11,204.2,0,7,516
09/01/2008 06:00,76.284,3.598,322.2,0,21,305
09/01/2008 07:00,145.69,4.12,611,0,0,824
09/01/2008 08:00,133.366,6.466,553.6,0,29,1059
09/01/2008 09:00,83.32,4.262,344,0,0,1051
09/01/2008 10:00,82.42,5.454,338,0,16,1068
09/01/2008 11:00,93.762,11.538,392.4,0,12,1066
09/01/2008 12:00,87.392,6.884,360.8,0,0,1066
09/01/2008 13:00,43.876,7.892,191.2,0,29,311
09/01/2008 14:00,17.286,3.51,75.2,0,0,0
09/01/2008 15:00,21.056,4.952,90.4,0,26,0
09/01/2008 16:00,60.4,6.228,254.8,607,3,0
09/01/2008 17:00,49.04,3.214,205.8,555,0,0
09/01/2008 18:00,111.17,6.146,469.8,0,28,0
09/01/2008 19:00,144.538,5.374,612.8,0,0,278
09/01/2008 20:00,166.194,8.314,705.8,0,28,577
09/01/2008 21:00,188.532,5.398,790.8,0,0,768
09/01/2008 22:00,97.272,4.468,404.6,0,0,74
09/01/2008 23:00,32.848,4.22,145.4,0,28,0
10/01/2008 00:00,27.7,3.644,124.8,0,0,0
10/01/2008 01:00,28.624,5.084,130.4,0,29,0
10/01/2008 02:00,26.25,2.048,118,0,0,0
10/01/2008 03:00,28.144,4.136,126.6,0,7,0
10/01/2008 04:00,34.972,4.592,155.2,0,21,113
10/01/2008 05:00,58.658,2.454,248.8,0,0,543
10/01/2008 06:00,54.384,5.536,239.4,0,29,0
10/01/2008 07:00,129.186,3.454,545.8,0,0,798
10/01/2008 08:00,162.232,3.284,686.8,0,8,1030
10/01/2008 09:00,92.462,4.84,387.2,0,19,1050
10/01/2008 10:00,90.046,3.592,374.2,0,0,1058
10/01/2008 11:00,91.336,5.206,381.2,0,29,1057
10/01/2008 12:00,90.64,3.524,378.8,0,0,1054
10/01/2008 13:00,95.376,3.766,398.6,0,14,1055
10/01/2008 14:00,90.648,3.418,377.2,0,14,1000
10/01/2008 15:00,54.038,4.908,224.8,0,0,0
10/01/2008 16:00,38.482,5.308,163.6,0,29,0
10/01/2008 17:00,32.68,3.73,141.8,0,0,0
10/01/2008 18:00,70.394,7.314,301.8,0,26,0
10/01/2008 19:00,144.976,10.718,618.6,0,3,0
10/01/2008 20:00,197.026,5.09,842.4,672,0,911
10/01/2008 21:00,177.38,11.368,756,533,28,323
10/01/2008 22:00,58.586,5.714,245.6,102,0,0
10/01/2008 23:00,19.856,7.776,88.6,0,29,0
11/01/2008 00:00,16.302,3.122,72.2,0,0,0
11/01/2008 01:00,17.68,4.786,76,0,28,0
11/01/2008 02:00,18.126,5.352,79.6,0,0,0
11/01/2008 03:00,16.67,3.464,72.8,0,11,0
11/01/2008 04:00,61.47,4.15,252.8,0,18,733
11/01/2008 05:00,17.5,4.528,77.8,0,0,0
11/01/2008 06:00,38.61,5.516,165,0,29,0
11/01/2008 07:00,56.372,3.598,236.4,0,0,61
11/01/2008 08:00,128.672,5.182,535.2,0,21,1050
11/01/2008 09:00,99.58,2.826,416.8,0,8,1044
11/01/2008 10:00,97.652,1.748,406.4,0,0,1046
11/01/2008 11:00,91.63,3.912,381.8,0,29,1046
11/01/2008 12:00,124.168,2.192,522.2,0,0,1034
11/01/2008 13:00,88.484,4.486,368.6,0,29,802
11/01/2008 14:00,36.704,3.416,148.6,0,0,0
11/01/2008 15:00,36.646,3.406,147.8,0,3,0
11/01/2008 16:00,37.844,5.544,154.6,0,27,0
11/01/2008 17:00,59.934,3.052,250,0,0,0
11/01/2008 18:00,81.814,4.926,341.2,0,29,0
11/01/2008 19:00,86.762,3.05,366.2,0,0,0
11/01/2008 20:00,106.032,3.702,446.4,0,15,0
11/01/2008 21:00,88.884,6.114,377.2,0,14,0
11/01/2008 22:00,183.448,3.016,773.6,661,0,1040
11/01/2008 23:00,114.834,4.396,478.2,600,29,141
12/01/2008 00:00,38.766,3.496,170,1,0,0
12/01/2008 01:00,29.058,3.752,132.6,0,25,0
12/01/2008 02:00,28.172,3.48,129.8,0,5,0
12/01/2008 03:00,29.572,3.388,133.4,0,0,0
12/01/2008 04:00,27.8,5.534,128,0,29,0
12/01/2008 05:00,26.412,3.226,120.4,0,0,0
12/01/2008 06:00,28.838,5.88,130.4,0,26,0
12/01/2008 07:00,112.6,3.108,476.6,0,3,491
12/01/2008 08:00,136.36,3.704,572,0,0,373
12/01/2008 09:00,59.256,4.64,255.2,0,28,481
12/01/2008 10:00,145.076,6.538,618.6,1048,330,454
12/01/2008 11:00,173.824,12.954,735,1087,139,1043
12/01/2008 12:00,72.486,4.082,307,0,24,717
12/01/2008 13:00,36.652,8.358,171,0,29,0
12/01/2008 14:00,141.932,9.188,596.6,0,1227,579
12/01/2008 15:00,96.346,16.732,411.2,0,610,327
12/01/2008 16:00,82.686,4.28,345.8,0,37,801
12/01/2008 17:00,157.534,15.788,681.4,1152,30,0
12/01/2008 18:00,311.808,8.53,1353.4,1051,11,706
12/01/2008 19:00,219.842,7.046,942.8,175,6,1001
12/01/2008 20:00,206.24,11.486,880.6,422,28,1016
12/01/2008 21:00,192.972,7.474,812.4,0,0,1038
12/01/2008 22:00,266.116,6.822,1123.8,658,34,1036
12/01/2008 23:00,251.06,3.238,1046.4,0,0,1053
13/01/2008 00:00,280.212,4.494,1176,762,0,1046
13/01/2008 01:00,224.84,5.496,934.8,200,35,1056
13/01/2008 02:00,187.616,3.08,776.2,700,0,1075
13/01/2008 03:00,146.614,4.894,599.2,0,21,1080
