DateTime, Active, Predicted next Active, Actual Next Active 
30/11/2008 17:00,[ 66.79011222],[ 74.58213975], [ 244.45605868]
30/11/2008 18:00,[ 244.45605868],[ 190.22292386], [ 183.4183743]
30/11/2008 19:00,[ 183.4183743],[ 157.26224526], [ 393.632]
30/11/2008 20:00,[ 393.632],[ 251.12254474], [ 275.89307685]
30/11/2008 21:00,[ 275.89307685],[ 188.92679662], [ 164.97963059]
30/11/2008 22:00,[ 164.97963059],[ 154.18043985], [ 110.47537676]
30/11/2008 23:00,[ 110.47537676],[ 95.2650855], [ 25.87707541]
01/12/2008 00:00,[ 25.87707541],[ 24.59836863], [ 25.48546782]
01/12/2008 01:00,[ 25.48546782],[ 34.14339695], [ 22.32826993]
01/12/2008 02:00,[ 22.32826993],[ 31.89018482], [ 24.68676534]
01/12/2008 03:00,[ 24.68676534],[ 67.28947587], [ 21.92781245]
01/12/2008 04:00,[ 21.92781245],[ 63.76302727], [ 22.60704143]
01/12/2008 05:00,[ 22.60704143],[ 60.70804284], [ 56.57734033]
01/12/2008 06:00,[ 56.57734033],[ 89.9198558], [ 175.69684616]
01/12/2008 07:00,[ 175.69684616],[ 155.14258455], [ 112.26084186]
01/12/2008 08:00,[ 112.26084186],[ 98.61736649], [ 106.61461269]
01/12/2008 09:00,[ 106.61461269],[ 103.23630915], [ 105.58802556]
01/12/2008 10:00,[ 105.58802556],[ 105.89643356], [ 105.34907856]
01/12/2008 11:00,[ 105.34907856],[ 108.70039282], [ 102.88880942]
01/12/2008 12:00,[ 102.88880942],[ 108.0633881], [ 66.69940086]
01/12/2008 13:00,[ 66.69940086],[ 71.83215134], [ 32.7423768]
01/12/2008 14:00,[ 32.7423768],[ 41.30170086], [ 34.90617466]
01/12/2008 15:00,[ 34.90617466],[ 47.28521639], [ 57.26984414]
01/12/2008 16:00,[ 57.26984414],[ 82.70034923], [ 76.54268989]
01/12/2008 17:00,[ 76.54268989],[ 98.74928785], [ 97.8200355]
01/12/2008 18:00,[ 97.8200355],[ 108.86520124], [ 81.91457251]
01/12/2008 19:00,[ 81.91457251],[ 88.11814043], [ 195.26837566]
01/12/2008 20:00,[ 195.26837566],[ 168.04700308], [ 158.47938712]
01/12/2008 21:00,[ 158.47938712],[ 136.80875077], [ 47.99073553]
01/12/2008 22:00,[ 47.99073553],[ 31.85817694], [ 30.75115177]
01/12/2008 23:00,[ 30.75115177],[ 37.31182546], [ 23.81062633]
02/12/2008 00:00,[ 23.81062633],[ 32.3934312], [ 24.97659921]
02/12/2008 01:00,[ 24.97659921],[ 43.20004971], [ 23.18670916]
02/12/2008 02:00,[ 23.18670916],[ 62.51248867], [ 25.19342149]
02/12/2008 03:00,[ 25.19342149],[ 61.60957504], [ 23.44114347]
02/12/2008 04:00,[ 23.44114347],[ 53.45809728], [ 70.19731948]
02/12/2008 05:00,[ 70.19731948],[ 97.16317392], [ 59.45576672]
02/12/2008 06:00,[ 59.45576672],[ 73.61855371], [ 145.14039194]
02/12/2008 07:00,[ 145.14039194],[ 143.24155706], [ 162.98840556]
02/12/2008 08:00,[ 162.98840556],[ 141.13096586], [ 94.81328572]
02/12/2008 09:00,[ 94.81328572],[ 81.35517729], [ 108.05050717]
02/12/2008 10:00,[ 108.05050717],[ 110.87312186], [ 99.50372688]
02/12/2008 11:00,[ 99.50372688],[ 103.80514625], [ 109.76074822]
02/12/2008 12:00,[ 109.76074822],[ 116.96932662], [ 111.42452735]
02/12/2008 13:00,[ 111.42452735],[ 115.54697706], [ 103.95300857]
02/12/2008 14:00,[ 103.95300857],[ 107.22905923], [ 33.04769797]
02/12/2008 15:00,[ 33.04769797],[ 33.17465716], [ 43.91978659]
02/12/2008 16:00,[ 43.91978659],[ 56.84560787], [ 113.36929046]
02/12/2008 17:00,[ 113.36929046],[ 133.57611514], [ 135.43870113]
02/12/2008 18:00,[ 135.43870113],[ 128.75355762], [ 71.75489995]
02/12/2008 19:00,[ 71.75489995],[ 69.60123521], [ 143.62706092]
02/12/2008 20:00,[ 143.62706092],[ 143.51571317], [ 154.75358386]
02/12/2008 21:00,[ 154.75358386],[ 140.23297713], [ 71.64206386]
02/12/2008 22:00,[ 71.64206386],[ 60.63263696], [ 30.52326713]
02/12/2008 23:00,[ 30.52326713],[ 34.61482292], [ 21.56054206]
03/12/2008 00:00,[ 21.56054206],[ 29.36580844], [ 36.3774687]
03/12/2008 01:00,[ 36.3774687],[ 52.20388051], [ 52.37143058]
03/12/2008 02:00,[ 52.37143058],[ 87.82082266], [ 21.25300841]
03/12/2008 03:00,[ 21.25300841],[ 50.7997136], [ 23.07387307]
03/12/2008 04:00,[ 23.07387307],[ 54.88288862], [ 21.54726722]
03/12/2008 05:00,[ 21.54726722],[ 48.05797181], [ 82.52742732]
03/12/2008 06:00,[ 82.52742732],[ 109.22158719], [ 155.58104848]
03/12/2008 07:00,[ 155.58104848],[ 142.8639504], [ 177.96241774]
03/12/2008 08:00,[ 177.96241774],[ 147.23953986], [ 156.98154341]
03/12/2008 09:00,[ 156.98154341],[ 132.53299524], [ 93.54111417]
03/12/2008 10:00,[ 93.54111417],[ 79.9054688], [ 95.09426969]
03/12/2008 11:00,[ 95.09426969],[ 100.69223358], [ 60.69696365]
03/12/2008 12:00,[ 60.69696365],[ 68.44810609], [ 51.0704969]
03/12/2008 13:00,[ 51.0704969],[ 66.26856419], [ 105.20084292]
03/12/2008 14:00,[ 105.20084292],[ 125.63490465], [ 36.22702059]
03/12/2008 15:00,[ 36.22702059],[ 45.48236485], [ 48.5195164]
03/12/2008 16:00,[ 48.5195164],[ 70.8620539], [ 126.10206825]
03/12/2008 17:00,[ 126.10206825],[ 136.82810389], [ 186.40299936]
03/12/2008 18:00,[ 186.40299936],[ 156.04633739], [ 99.49266452]
03/12/2008 19:00,[ 99.49266452],[ 82.45833314], [ 88.17808144]
03/12/2008 20:00,[ 88.17808144],[ 89.80047454], [ 89.55645165]
03/12/2008 21:00,[ 89.55645165],[ 98.18137186], [ 87.76877408]
03/12/2008 22:00,[ 87.76877408],[ 98.49653734], [ 24.5385297]
03/12/2008 23:00,[ 24.5385297],[ 29.01503285], [ 21.7884267]
04/12/2008 00:00,[ 21.7884267],[ 29.18271252], [ 21.17778436]
04/12/2008 01:00,[ 21.17778436],[ 38.27148065], [ 24.41241878]
04/12/2008 02:00,[ 24.41241878],[ 59.38908876], [ 64.08204619]
04/12/2008 03:00,[ 64.08204619],[ 97.316724], [ 23.40353144]
04/12/2008 04:00,[ 23.40353144],[ 43.60354231], [ 22.05834831]
04/12/2008 05:00,[ 22.05834831],[ 44.56255481], [ 42.13653396]
04/12/2008 06:00,[ 42.13653396],[ 65.06863122], [ 177.72789568]
04/12/2008 07:00,[ 177.72789568],[ 159.76496125], [ 151.95480646]
04/12/2008 08:00,[ 151.95480646],[ 129.25239618], [ 130.68409827]
